specimen_id,taxon_id,species_name,specimen_id_raw,publication_status,is_type_or_reference_specimen,condition,condition_description,sex,age_class,age_detail,pathology_status,pathology_description,trauma_status,trauma_description,missing_teeth_count,skeleton_completeness,body_mass_g,body_mass_g_status,acquisition_source,acquisition_date,acquisition_date_precision,location_label,country_code,latitude,longitude,coordinate_precision,coordinate_uncertainty_m,collector_credit,owner_credit,collection_history,defleshing_method,defleshing_duration_days,defleshing_duration_days_status,degreasing_agents,degreasing_duration_days,degreasing_duration_days_status,whitening_method,hydrogen_peroxide_percent,hydrogen_peroxide_percent_status,whitening_duration_hours,whitening_duration_hours_status,preparation_notes,photographed_on,photographed_on_precision,uploaded_on,skull_mass_g,skull_mass_g_status,skull_length_mm,skull_length_mm_status,condylobasal_length_mm,condylobasal_length_mm_status,skull_width_mm,skull_width_mm_status,skull_height_mm,skull_height_mm_status,cranium_width_mm,cranium_width_mm_status,cranium_height_mm,cranium_height_mm_status,rostrum_width_mm,rostrum_width_mm_status,interorbital_width_mm,interorbital_width_mm_status,postorbital_width_mm,postorbital_width_mm_status,orbital_width_mm,orbital_width_mm_status,bill_length_mm,bill_length_mm_status,bill_width_mm,bill_width_mm_status,bill_height_mm,bill_height_mm_status,mandible_length_mm,mandible_length_mm_status,maxillary_tooth_row_length_mm,maxillary_tooth_row_length_mm_status,mandibular_tooth_row_length_mm,mandibular_tooth_row_length_mm_status,mandible_ramus_height_mm,mandible_ramus_height_mm_status,mandible_body_height_mm,mandible_body_height_mm_status,maxillary_canine_length_mm,maxillary_canine_length_mm_status,mandibular_canine_length_mm,mandibular_canine_length_mm_status,specimen_credit,data_rights,media_credit,media_rights,public_notes,source_references
SPEC-0001,TAX-0001,Nyctereutes procyonoides,SPEC-0001,published,false,good,,female,adult,,not_recorded,,not_recorded,,3,none,,not_recorded,hunting,2025-11,month,"Wadden Sea region, Denmark",DK,55.312436,8.66494,approximate,25000,,Rasmus,Acquired through a private contact.,maceration,,not_recorded,dish_soap;ammonia,7,measured,hydrogen_peroxide,,not_recorded,168,measured,Commercial 12% hair-whitening product diluted with water; final peroxide concentration not recorded.,,unknown,,76,measured,119,measured,118.5,measured,71,measured,48,measured,42.5,measured,,not_applicable,23,measured,23.5,measured,19.5,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,90,measured,57,measured,52,measured,45,measured,17,measured,26,measured,25,measured,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0002,TAX-0002,Alca torda,1,published,false,excellent,,not_recorded,indeterminate,Estimated as between young adult and adult.,not_recorded,,not_recorded,,,none,,not_recorded,beach_washup,2023,year,"Fanø beach, Denmark",DK,55.340944,8.455531,approximate,1000,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,4,measured,84,measured,,not_applicable,,not_applicable,,not_applicable,26.5,measured,22,measured,,not_applicable,12.5,measured,,not_applicable,31,measured,48.5,measured,13.5,measured,12,measured,76,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0003,TAX-0003,Felis catus,1,published,false,fair,,male,adult,,not_recorded,,not_recorded,,5,none,,not_recorded,found_remains,2023,year,"Esbjerg, Denmark",DK,55.482618,8.502896,exact,0,,Rasmus,,burial,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,30,measured,93,measured,89,measured,61.5,measured,42,measured,43,measured,,not_applicable,25.5,measured,18,measured,,not_recorded,,not_applicable,,not_applicable,,not_applicable,,not_applicable,61,measured,35,measured,34,measured,29,measured,10,measured,22,measured,21,measured,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0004,TAX-0004,Gavia sp.,1,published,false,good,,not_recorded,indeterminate,Estimated as between young adult and adult.,not_recorded,,not_recorded,,,none,,not_recorded,beach_washup,2024-10,month,"Fanø beach, Denmark",DK,55.39687,8.391478,approximate,8000,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,6,measured,106,measured,,not_applicable,,not_applicable,,not_applicable,26,measured,22,measured,,not_applicable,10.5,measured,,not_applicable,31,measured,58,measured,15,measured,11,measured,104,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0005,TAX-0005,Haematopus ostralegus,1,published,false,good,,not_recorded,indeterminate,,not_recorded,,not_recorded,,,none,,not_recorded,found_remains,2023,year,"Fanø beach, Denmark",DK,55.340811,8.478814,exact,0,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,3,measured,101,measured,,not_applicable,,not_applicable,,not_applicable,23.5,measured,23.5,measured,,not_applicable,6,measured,,not_applicable,24,measured,70,measured,12,measured,9,measured,87,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0006,TAX-0006,Larus sp.,4,published,false,good,,not_recorded,indeterminate,Estimated as between young adult and adult.,not_recorded,,not_recorded,,,none,,not_recorded,beach_washup,2023,year,"Fanø beach, Denmark",DK,55.39687,8.391478,approximate,8000,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,7,measured,114,measured,,not_applicable,,not_applicable,,not_applicable,31.5,measured,27,measured,,not_applicable,12.5,measured,,not_applicable,40,measured,61,measured,19,measured,12,measured,100,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0007,TAX-0007,Lepus europaeus,1,published,false,excellent,,not_recorded,adult,,not_recorded,,not_recorded,,1,none,,not_recorded,roadkill,2025-03,month,"Esbjerg Municipality, Denmark",DK,55.527667,8.534443,approximate,15000,,Rasmus,,maceration,,not_recorded,dish_soap;ammonia,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,Commercial 12% hair-whitening product diluted with water; final peroxide concentration not recorded.,,unknown,,26,measured,98,measured,86.5,measured,49.5,measured,40,measured,35,measured,,not_applicable,31,measured,21,measured,15,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,69,measured,47,measured,41,measured,36,measured,15,measured,,not_recorded,,not_recorded,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0008,TAX-0008,Martes foina,1,published,false,excellent,,not_recorded,adult,,not_recorded,,not_recorded,,3,full,,not_recorded,roadkill,2023,year,"Odense, Denmark",DK,55.389682,10.368594,exact,0,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,21,measured,82,measured,80,measured,40,measured,33,measured,41,measured,,not_applicable,20.5,measured,20,measured,22,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,53,measured,35,measured,35,measured,25,measured,10,measured,19,measured,18,measured,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0009,TAX-0009,Meles meles,1,published,false,excellent,,not_recorded,juvenile,,not_recorded,,not_recorded,,4,full,,not_recorded,roadkill,2023,year,"Oksbøl, Denmark",DK,55.615139,8.254583,exact,0,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,67,measured,128,measured,127,measured,71,measured,48,measured,50.8,measured,,not_applicable,31,measured,29,measured,27,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,82,measured,49,measured,52,measured,35,measured,16.31,measured,30,measured,29,measured,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
SPEC-0010,TAX-0009,Meles meles,3,published,false,excellent,,not_recorded,old_adult,,not_recorded,,not_recorded,,6,none,8050,measured,roadkill,2024,year,"Henne Kirkeby, Denmark",DK,55.736879,8.2518214,exact,0,,Rasmus,,maceration,,not_recorded,not_recorded,,not_recorded,hydrogen_peroxide,,not_recorded,,not_recorded,,,unknown,,117,measured,139,measured,132.5,measured,85,measured,59,measured,50.5,measured,,not_applicable,33,measured,32,measured,26,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,92,measured,53,measured,55.5,measured,42,measured,17.5,measured,,not_recorded,,not_recorded,Rasmus,all_rights_reserved,Rasmus,all_rights_reserved,,
