taxon_id,slug,scientific_name,taxon_rank,identification_qualifier,identification_confidence,taxonomic_status,english_name,danish_name,aliases,class_name,class_slug,order_name,order_slug,family_name,family_slug,genus_name,genus_slug,gbif_taxon_key,col_taxon_id,taxonomy_checked_on,taxonomy_snapshot_id,default_specimen_id,previous_slugs,publication_status,published_on,updated_on
TAX-0001,raccoon-dog,Nyctereutes procyonoides,species,confirmed,high,accepted,Raccoon dog,Mårhund,Common raccoon dog;Chinese raccoon dog;Asiatic raccoon dog,Mammalia,mammals,Carnivora,carnivora,Canidae,canidae,Nyctereutes,nyctereutes,2434552,,2026-08-13,GBIF-2026-08-13-TAX-0001,SPEC-0001,,published,,2026-08-13
TAX-0002,razorbill,Alca torda,species,confirmed,high,accepted,Razorbill,Alk,,Aves,birds,Charadriiformes,charadriiformes,Alcidae,alcidae,Alca,alca,8277073,,2026-08-21,GBIF-2026-08-21-TAX-0002,SPEC-0002,,published,,2026-08-21
TAX-0003,domestic-cat,Felis catus,species,confirmed,high,accepted,Domestic cat,Huskat,Cat;House cat,Mammalia,mammals,Carnivora,carnivora,Felidae,felidae,Felis,felis,2435035,,2026-08-21,GBIF-2026-08-21-TAX-0003,SPEC-0003,,published,,2026-08-21
TAX-0004,gavia-sp,Gavia,genus,sp,unassessed,accepted,Loon,Lom,Diver;Gavia sp.,Aves,birds,Gaviiformes,gaviiformes,Gaviidae,gaviidae,Gavia,gavia,2481954,,2026-08-21,GBIF-2026-08-21-TAX-0004,SPEC-0004,,published,,2026-08-21
TAX-0005,eurasian-oystercatcher,Haematopus ostralegus,species,confirmed,high,accepted,Eurasian oystercatcher,Strandskade,Oystercatcher,Aves,birds,Charadriiformes,charadriiformes,Haematopodidae,haematopodidae,Haematopus,haematopus,7788295,,2026-08-21,GBIF-2026-08-21-TAX-0005,SPEC-0005,,published,,2026-08-21
TAX-0006,larus-sp,Larus,genus,sp,unassessed,accepted,Gull,Måge,Larus sp.,Aves,birds,Charadriiformes,charadriiformes,Laridae,laridae,Larus,larus,2481126,,2026-08-21,GBIF-2026-08-21-TAX-0006,SPEC-0006,,published,,2026-08-21
TAX-0007,european-hare,Lepus europaeus,species,confirmed,high,accepted,European hare,Hare,Brown hare,Mammalia,mammals,Lagomorpha,lagomorpha,Leporidae,leporidae,Lepus,lepus,7952072,,2026-08-21,GBIF-2026-08-21-TAX-0007,SPEC-0007,,published,,2026-08-21
TAX-0008,beech-marten,Martes foina,species,confirmed,high,accepted,Beech marten,Husmår,Stone marten,Mammalia,mammals,Carnivora,carnivora,Mustelidae,mustelidae,Martes,martes,5218887,,2026-08-21,GBIF-2026-08-21-TAX-0008,SPEC-0008,,published,,2026-08-21
TAX-0009,european-badger,Meles meles,species,confirmed,high,accepted,European badger,Grævling,Badger,Mammalia,mammals,Carnivora,carnivora,Mustelidae,mustelidae,Meles,meles,2433875,,2026-08-21,GBIF-2026-08-21-TAX-0009,SPEC-0010,,published,,2026-08-21
TAX-0010,northern-gannet,Morus bassanus,species,confirmed,high,accepted,Northern gannet,Sule,Gannet,Aves,birds,Suliformes,suliformes,Sulidae,sulidae,Morus,morus,2480964,,2026-08-21,GBIF-2026-08-21-TAX-0010,SPEC-0011,,published,,2026-08-21
TAX-0011,least-weasel,Mustela nivalis,species,confirmed,high,accepted,Least weasel,Brud,Weasel,Mammalia,mammals,Carnivora,carnivora,Mustelidae,mustelidae,Mustela,mustela,5218987,,2026-08-21,GBIF-2026-08-21-TAX-0011,SPEC-0012,,published,,2026-08-21
TAX-0012,harbour-seal,Phoca vitulina,species,confirmed,high,accepted,Harbour seal,Spættet sæl,Common seal,Mammalia,mammals,Carnivora,carnivora,Phocidae,phocidae,Phoca,phoca,2434793,,2026-08-21,GBIF-2026-08-21-TAX-0012,SPEC-0014,,published,,2026-08-21
TAX-0013,european-mole,Talpa europaea,species,confirmed,high,accepted,European mole,Muldvarp,Mole,Mammalia,mammals,Soricomorpha,soricomorpha,Talpidae,talpidae,Talpa,talpa,7872906,,2026-08-21,GBIF-2026-08-21-TAX-0013,SPEC-0016,,published,,2026-08-21
TAX-0014,common-guillemot,Uria aalge,species,confirmed,high,accepted,Common guillemot,Lomvie,Common murre;Murre,Aves,birds,Charadriiformes,charadriiformes,Alcidae,alcidae,Uria,uria,2481342,,2026-08-21,GBIF-2026-08-21-TAX-0014,SPEC-0017,,published,,2026-08-21
TAX-0015,red-fox,Vulpes vulpes,species,confirmed,high,accepted,Red fox,Rød ræv,Fox,Mammalia,mammals,Carnivora,carnivora,Canidae,canidae,Vulpes,vulpes,5219243,,2026-08-21,GBIF-2026-08-21-TAX-0015,SPEC-0018,,published,,2026-08-21
